Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Storm,2010,1/19/2010,7:30 a.m.,1/19/2010,12:24 PM,California ISO,San Francisco,WECC,300,30000.0,"severe weather, storm"
Severe Storm,2010,1/18/2010,11:30 a.m.,1/28/2010,8:00 AM,Pacific Gas and Electric Company,Northern and Central California,WECC,290,1700000.0,"severe weather, storm"
Interruptible Load Shed/Made Public Appeals,2010,1/11/2010,3:45 a.m.,1/11/2010,9:57 AM,Progress Energy Florida,Northern and Central Florida,"FRCC, SERC",,,"load shedding, public appeal"
Made Public Appeals,2010,1/6/2010,6:00 p.m.,1/8/2010,6:00 PM,Southwest Louisiana Electric Membership Corporation,Southwest Louisiana,SERC,,,public appeal
Severe Weather,2009,12/18/2009,8:00 p.m.,12/25/2009,9:30 p.m.,American Electric Power,"West Virginia, Kentucky, Ohio",RFC,,403913.0,severe weather
Severe Weather,2009,12/18/2009,10:55 p.m.,12/19/2009,11:15 p.m.,Progress Energy Carolinas Inc,Western North Carolina,SERC,,47000.0,severe weather
Severe Weather,2009,12/10/2009,5:45 p.m.,12/12/2009,8:00 a.m.,Detroit Edison,Michigan,RFC,,65562.0,severe weather
Severe Weather,2009,12/9/2009,1:37 p.m.,12/10/2009,6:30 a.m.,American Electric Power,Ohio,RFC,,48102.0,severe weather
Load Shed/Made Public Appeals,2009,12/8/2009,6:34 a.m.,12/8/2009,12:00 p.m.,California Independent System Operator,California,WECC,,,"load shedding, public appeal"
Severe Weather,2009,12/8/2009,1:00 a.m.,12/10/2009,11:00 a.m.,Arizona Public Service,Arizona,WECC,,140000.0,severe weather
Forced Outage Equipment Failure,2009,12/7/2009,10:00 p.m.,12/8/2009,4:00 a.m.,California Department of Water Resources,California,WECC,400,,equipment failure
Switching Failure,2009,11/18/2009,6:15 a.m.,11/18/2009,10:00 a.m.,California Dept of Water Resources,"Central Valley, CA",WECC,630,,equipment failure
Tropical Storm Ida,2009,11/12/2009,6:45 p.m.,11/14/2009,4:25 a.m.,Dominion VirginiaPower/Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",SERC,400,335000.0,"severe weather, hurricane/tropical storm"
High Winds,2009,10/13/2009,3:45 p.m.,10/13/2009,5:50 p.m.,Sacramento Municipal Utility District,Sacramento County,WECC,90,94000.0,"severe weather, wind"
Ice,2009,10/13/2009,12:48 p.m.,10/13/2009,2:34 p.m.,Western Area Power Administration Upper Great Plains Region,Southeastern Wyoming,WECC,101,35500.0,"severe weather, winter storm"
High Winds and Rain,2009,10/13/2009,4:00 p.m.,10/13/2009,10:30 p.m.,Pacific Gas and Electric,Northern California,WECC,350,859554.0,"severe weather, wind, rain"
Transmission System Interruption,2009,10/9/2009,6:30 p.m.,10/9/2009,7:10 p.m.,California Department of Water Resources,"Central Valley, CA (Bakersfield, CA)",WECC,180,,transmission interruption
Winter Storm,2009,10/9/2009,10:45 p.m.,10/11/2009,4:00 p.m.,Entergy Corporation,Arkansas and North Louisiana,SERC,,56000.0,"severe weather, winter storm"
Severe Storms,2009,10/7/2009,5:45 a.m.,10/9/2009,11:00 p.m.,Detroit Edison,Southeast Michigan,RFC,,75000.0,"severe weather, storm"
Made Public Appeals,2009,8/31/2009,10:31 a.m.,8/31/2009,12:00 a.m.,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,,,public appeal
Electrical System Separation,2009,8/29/2009,11:00 a.m.,8/29/2009,2:01 p.m.,Western Area Power Administration Upper Great Plains Region,Western South Dakota,MRO,373,18.0,islanding
Electrical System Separation,2009,8/29/2009,10:54 p.m.,8/29/2009,11:53 p.m.,Midwest ISO,Western South Dakota,RFC,84,0.0,islanding
Thunderstorms,2009,8/21/2009,7:00 p.m.,8/22/2009,8:00 a.m.,CenterPoint Energy,Houston Metropolitan Service Area,TRE,544,80000.0,"severe weather, thunderstorm"
Thunderstorms,2009,8/12/2009,6:25 p.m.,8/12/2009,10:00 a.m.,CenterPoint Energy,South Houston Service Area,TRE,491,73000.0,"severe weather, thunderstorm"
Severe Thunderstorms,2009,8/9/2009,7:31 p.m.,8/10/2009,9:59 a.m.,Consumers Energy,"Michigan, Lower Peninsula",RFC,,58156.0,"severe weather, thunderstorm"
High Winds and Rain,2009,8/7/2009,11:00 p.m.,8/11/2009,10:00 p.m.,Detroit Edison,Western Region of Service Territory,RFC,,137000.0,"severe weather, wind, rain"
Made Public Appeals,2009,8/5/2009,3:00 p.m.,8/5/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,,,public appeal
Thunderstorms,2009,8/4/2009,1:45 p.m.,8/8/2009,9:00 p.m.,Duke Energy Midwest,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,50,63700.0,"severe weather, thunderstorm"
Highwinds,2009,8/2/2009,2:17 a.m.,8/3/2009,1:09 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",RFC,,70264.0,"severe weather, wind"
Loss of Part of Substation,2009,7/28/2009,8:18 p.m.,7/28/2009,8:33 p.m.,PacificCorp,Salt Lake City Utah and Northern Utah,WECC,316,,equipment failure
Failure of Computer Hardware Used for Monitoring,2009,7/27/2009,5:05 a.m.,7/27/2009,5:47 a.m.,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,,,equipment failure
Unit Tripped,2009,7/21/2009,5:34 a.m.,7/21/2009,8:43 a.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,136,1.0,generator trip
Severe Thunderstorm,2009,7/20/2009,9:50 p.m.,7/22/2009,7:00 p.m.,Public Service Company of Colorado,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",WECC,150,86058.0,"severe weather, thunderstorm"
Thunderstorms,2009,7/18/2009,7:00 p.m.,7/19/2009,9:00 p.m.,CenterPoint Energy,Houston/Galveston Area,TRE,51,73000.0,"severe weather, thunderstorm"
Made Public Appeals,2009,7/16/2009,1:00 p.m.,7/16/2009,6:00 p.m.,AEP West,AEP SWEPCO/Louisiana Area,SPP,,,public appeal
Made Public Appeals,2009,7/15/2009,1:00 p.m.,7/15/2009,6:00 p.m.,AEP West,AEP SWEPCO/Louisiana Area,SPP,,,public appeal
Made Public Appeals,2009,7/14/2009,1:00 p.m.,7/14/2009,6:00 p.m.,AEP West,AEP SWEPCO/Louisiana Area,SPP,,,public appeal
Made Public Appeals,2009,7/8/2009,1:30 p.m.,7/8/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,,,public appeal
Made Public Appeals,2009,7/7/2009,3:30 p.m.,7/7/2009,7:00 p.m.,ERCOT ISO,"San Antonio, Texas",TRE,,,public appeal
Electrical System Separation,2009,7/2/2009,10:44 p.m.,7/3/2009,1:25 a.m.,ISO New England,Northern Maine,NPCC,0,0.0,islanding
Severe Thunderstorms,2009,6/26/2009,5:00 p.m.,6/29/2009,9:00 a.m.,Connecticut Light and Power,Central Connecticut,NPCC,,50752.0,"severe weather, thunderstorm"
Severe Thunderstorms,2009,6/26/2009,1:00 a.m.,6/27/2009,9:00 a.m.,Duke Energy Midwest,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",RFC,327,85000.0,"severe weather, thunderstorm"
High Winds/Rain,2009,6/25/2009,3:30 p.m.,6/28/2009,8:00 p.m.,Detroit Edison,Western Region of Service Territory,RFC,,118000.0,"severe weather, wind, rain"
Made Public Appeals,2009,6/25/2009,3:16 p.m.,6/25/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,,,public appeal
Made Public Appeals,2009,6/24/2009,1:30 p.m.,6/24/2009,10:00 p.m.,SW Louisiana Electric Membership Corp/ Louisiana Generating LLC,Southwest Louisiana,SERC,,,public appeal
Severe Storm,2009,6/19/2009,1:00 p.m.,6/19/2009,11:59 p.m.,Exelon Corporation ComEd,The Entire ComEd Service Territory,SERC,,245000.0,"severe weather, storm"
Severe Storm,2009,6/19/2009,12:01 a.m.,6/21/2009,11:00 p.m.,Consumers Energy,Michigan Lower Peninsula,RFC,75,99000.0,"severe weather, storm"
Fuel Supply Deficiency,2009,6/16/2009,11:00 p.m.,6/17/2009,2:00 a.m.,California Department of Water Resources,A.D. Edmonston Pumping Plant,WECC,300,0.0,fuel supply emergency
Severe Storm,2009,6/12/2009,4:37 p.m.,6/12/2009,6:53 p.m.,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,860,136000.0,"severe weather, storm"
Severe Thunderstorm,2009,6/12/2009,10:00 p.m.,6/13/2009,6:00 p.m.,Southern Company,Georgia,SERC,290,102000.0,"severe weather, thunderstorm"
Severe Thunderstorms,2009,6/12/2009,5:45 p.m.,6/15/2009,11:59 p.m.,Entergy Corporation,"Arkansas, North Mississippi",SERC,,81645.0,"severe weather, thunderstorm"
Severe Storms,2009,6/10/2009,6:00 p.m.,6/14/2009,10:00 a.m.,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,,800000.0,"severe weather, storm"
Severe Thunderstorms,2009,6/9/2009,5:25 p.m.,6/11/2009,5:00 a.m.,Baltimore Gas and Electric,Central Maryland,RFC,60,85091.0,"severe weather, thunderstorm"
Electrical System Separation,2009,6/5/2009,1:38 p.m.,6/5/2009,8:18 p.m.,Pacific Gas and Electric,East of Fresno California,WECC,1,70.0,islanding
Transmission Equipment Failure,2009,5/29/2009,9:05 a.m.,5/29/2009,7:57 p.m.,Big Rivers Electric Corporation,"Henderson County, Kentucky",SERC,342,1.0,"equipment failure, transmission interruption"
Severe Thunderstorm,2009,5/8/2009,7:30 a.m.,5/8/2009,9:00 a.m.,The Empire District Electric Company,SW Missouri,SERC,266,83000.0,"severe weather, thunderstorm"
Severe Thunderstorm,2009,5/8/2009,1:30 p.m.,5/14/2009,11:20 p.m.,Ameren,Southern Illinois,SERC,300,68800.0,"severe weather, thunderstorm"
High Winds,2009,4/27/2009,3:30 p.m.,4/28/2009,11:30 a.m.,CenterPoint Energy,Greater Houston/Galveston Area,TRE,176,158000.0,"severe weather, wind"
High Winds/Rain,2009,4/25/2009,2:30 p.m.,4/29/2009,1:00 a.m.,Detroit Edison,Western Region of Service Territory,RFC,,125000.0,"severe weather, wind, rain"
Complete Electric System Failure,2009,4/24/2009,11:09 a.m.,4/24/2009,11:21 a.m.,Constellation Energy,"Ruston, Louisiana",SERC,32,11000.0,unknown
Fuel Supply Deficiency,2009,4/23/2009,12:00 a.m.,Ongoing,Ongoing,"State of California, Department of Water Resources",Restricted Hydro Electric Capability,WECC,-,,fuel supply emergency
Substation Load Interruption,2009,4/23/2009,5:54 p.m.,4/23/2009,7:58 p.m.,Southern California Edison Co,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",WECC,512,280000.0,load shedding
Transmission Tripped,2009,4/23/2009,4:25 p.m.,4/24/2009,12:29 a.m.,Puget Sound Energy,"Skagit County, Washington",WECC,244,93300.0,equipment failure
Severe Thunderstorms,2009,4/10/2009,10:00 p.m.,4/11/2009,2:30 a.m.,Southern Company,Alabama and Georgia,SERC,162,56679.0,"severe weather, thunderstorm"
Winter Storm,2009,4/6/2009,1:00 a.m.,4/8/2009,12:00 p.m.,Consumers Energy,"Michigan, Lower Peninsula",RFC,75,70793.0,"severe weather, winter storm"
Unit Shut Down,2009,3/8/2009,10:16 p.m.,3/8/2009,11:45 p.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,150,,unknown
Made Public Appeals,2009,3/3/2009,10:00 p.m.,3/4/2009,8:17 p.m.,American Electric Power,"Roanoke, Virginia",RFC,350,0.0,public appeal
Transformer Faulted/Unit Tripped,2009,3/3/2009,6:48 a.m.,4/26/2009,6:05 a.m.,"New Covert Generating Company, LLC",Southwest Michigan,RFC,378,,equipment failure
Winter Storm,2009,3/1/2009,10:00 p.m.,3/3/2009,6:00 p.m.,Dominion Virginia/North Carolina Power,Central Virginia - Spotsylvania County,SERC,210,217000.0,"severe weather, winter storm"
Ice/Snow Storm,2009,3/1/2009,8:54 p.m.,3/3/2009,4:06 p.m.,Duke Energy Carolinas,Duke Energy Carolinas Balance Authority,SERC,"1,000",180000.0,"severe weather, winter storm"
Transmission Equipment Failure,2009,3/1/2009,12:15 a.m.,3/1/2009,3:00 a.m.,El Paso Electric Company,"City of El Paso, Texas, County of El Paso",WECC,250,132000.0,"equipment failure, transmission interruption"
Severe Weather,2009,3/1/2009,4:00 p.m.,3/1/2009,11:25 p.m.,Southern Company,Southern Balancing Area,SERC,75,60000.0,severe weather
Ice/Snow Storm,2009,2/23/2009,2:38 a.m.,2/24/2009,1:46 p.m.,Central Maine Power Company,Southern Central and Western Maine,NPCC,,131000.0,"severe weather, winter storm"
High Winds,2009,2/13/2009,2:30 a.m.,2/15/2009,3:00 a.m.,Ohio Edison Company,Central and Eastern Ohio,RFC,168,184000.0,"severe weather, wind"
High Winds,2009,2/12/2009,2:30 a.m.,2/12/2009,6:00 a.m.,Midwest ISO,Central and Eastern Ohio,RFC,168,184000.0,"severe weather, wind"
High Winds,2009,2/12/2009,8:00 a.m.,2/15/2009,10:00 p.m.,Penelec,Western and North Eastern Pennsylvania,RFC,130,132000.0,"severe weather, wind"
Severe Thunderstorms,2009,2/11/2009,6:18 p.m.,2/16/2009,8:10 p.m.,Allegheny Power,"Maryland, Virginia, West Virginia and Pennsylvania",RFC,,374644.0,"severe weather, thunderstorm"
Severe Thunderstorms,2009,2/11/2009,6:00 p.m.,2/13/2009,5:00 p.m.,American Electric Power,"Kentucky, West Virginia and Ohio",RFC,,279813.0,"severe weather, thunderstorm"
Severe Thunderstorms,2009,2/11/2009,9:00 p.m.,2/12/2009,12:00 p.m.,Midwest ISO,Northern Kentucky and Southwest Ohio,RFC,350,63000.0,"severe weather, thunderstorm"
High Winds,2009,2/11/2009,2:30 a.m.,2/11/2009,12:00 p.m.,CenterPoint Energy,"Houston, Texas",TRE,350,64801.0,"severe weather, wind"
Severe Thunderstorms,2009,2/11/2009,7:00 p.m.,2/12/2009,11:00 a.m.,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,,78000.0,"severe weather, thunderstorm"
Winter Storm,2009,1/28/2009,12:10 a.m.,1/30/2009,9:20 p.m.,Midwest ISO,East Central Missouri,RFC,300,1.0,"severe weather, winter storm"
Ice/Snow Storm,2009,1/28/2009,10:00 a.m.,1/30/2009,9:20 p.m.,Duke Energy Ohio,Northern Kentucky and Southwest Ohio,RFC,,53600.0,"severe weather, winter storm"
Ice/Snow Storm,2009,1/28/2009,7:50 a.m.,2/13/2009,8:03 a.m.,Duke Energy Indiana,Southern Indiana,RFC,,53700.0,"severe weather, winter storm"
Winter Storm,2009,1/28/2009,3:00 a.m.,2/13/2009,8:03 a.m.,Midwest ISO,"Illinois, Indiana, Ohio and Kentucky",RFC,,230300.0,"severe weather, winter storm"
Ice Storm,2009,1/28/2009,9:00 a.m.,2/5/2009,8:00 a.m.,Tennessee Valley Authority,Northeast Tennessee and Southwest Kentucky,SERC,,109527.0,"severe weather, winter storm"
Ice Storm,2009,1/28/2009,6:00 a.m.,2/5/2009,6:00 p.m.,Vectren Energy Delivery of Indiana,"Indiana, Evansville, Metro Area",RFC,506,75000.0,"severe weather, winter storm"
Ice Storm,2009,1/28/2009,4:00 a.m.,2/7/2009,5:00 p.m.,Henderson Municipal Power and Light,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",RFC,21,3500.0,"severe weather, winter storm"
Ice/Snow Storm,2009,1/27/2009,3:43 p.m.,1/29/2009,9:00 a.m.,American Electric Power,CSWS-AEP West,RFC,,59402.0,"severe weather, winter storm"
Ice Storm,2009,1/27/2009,7:10 a.m.,2/4/2009,7:30 p.m.,Big Rivers Electric Corporation,Western Kentucky and Southern Indiana,SERC,350,3.0,"severe weather, winter storm"
Winter Storm,2009,1/27/2009,11:00 a.m.,1/30/2009,6:00 p.m.,"Associated Electric Cooperative, Inc.",South Central and Southeast Missouri,SERC,200,62500.0,"severe weather, winter storm"
Ice Storm,2009,1/27/2009,9:00 p.m.,1/29/2009,6:00 a.m.,Arkansas Electric Cooperative Corporation,Northern Arkansas,SERC,600,215700.0,"severe weather, winter storm"
Ice Storm,2009,1/27/2009,5:03 a.m.,1/31/2009,5:15 p.m.,"East Kentucky Power Cooperative, Inc.",Central and Eastern Kentrucky,SERC,600,190000.0,"severe weather, winter storm"
Ice Storm,2009,1/27/2009,1:46 p.m.,2/3/2009,5:00 p.m.,Entergy Corporation,Northern Arkansas,SERC,,111818.0,"severe weather, winter storm"
Ice Storm,2009,1/27/2009,5:00 a.m.,1/29/2009,4:30 p.m.,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,,383000.0,"severe weather, winter storm"
Ice Storm,2009,1/27/2009,9:45 p.m.,1/27/2009,10:17 p.m.,Tennessee Valley Autbority,TVA Service Territory,SERC,850,1.0,"severe weather, winter storm"
Shed Load,2009,1/22/2009,4:00 p.m.,1/22/2009,5:05 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,50,9700.0,load shedding
Fuel Supply Deficiency,2009,1/17/2009,8:00 a.m.,1/25/2009,8:00 a.m.,"State Line Energy, LLC","PJM, Indiana",RFC,,,fuel supply emergency
Transmission Equipment Failure,2009,1/8/2009,11:46 p.m.,1/9/2009,11:25 a.m.,Florida Keys Electric Cooperative Assoc. Inc.,Florida Keys,FRCC,55,31000.0,"equipment failure, transmission interruption"
High Winds,2009,1/7/2009,5:00 p.m.,1/7/2009,8:05 p.m.,Duke Energy Carolinas,Piedmont of North and South Carolina,SERC,300,70000.0,"severe weather, wind"
Severe Storm,2009,1/5/2009,5:00 a.m.,1/6/2009,6:00 p.m.,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,,157019.0,"severe weather, storm"
Shed Firm Load,2008,12/30/2008,4:02 p.m.,12/30/2008,4:37 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,41,9700.0,load shedding
Wind Storm,2008,12/28/2008,4:45 a.m.,12/31/2008,6:00 p.m.,Consumers Energy,Michigan Lower Peninsula,RFC,,210517.0,"severe weather, wind"
Wind Storm,2008,12/28/2008,11:45 a.m.,12/28/2008,11:30 p.m.,Midwest ISO,Michigan Lower Peninsula,RFC,,230000.0,"severe weather, wind"
Wind Storm,2008,12/27/2008,4:00 p.m.,1/1/2008,11:30 p.m.,DTE Energy,Southeastern Michigan,RFC,,247847.0,"severe weather, wind"
Lightning,2008,12/26/2008,6:13 p.m.,12/27/2008,5:00 p.m.,"Hawaiian Electric Company, Inc.","Island of Oahu, Hawaii",HI,"1,060",294000.0,"severe weather, thunderstorm"
Load Shedding,2008,12/26/2008,11:40 a.m.,12/26/2008,3:34 p.m.,Sacramento Municipal Utility District,"Orangevale Area of Sacramento, California",WECC,110,50000.0,load shedding
Ice Storm,2008,12/19/2008,9:00 a.m.,12/20/2008,8:20 a.m.,Midwest ISO,Northwest Indiana,RFC,,50000.0,"severe weather, winter storm"
Electrical System Separation,2008,12/19/2008,1:02 a.m.,12/19/2008,6:17 a.m.,Pacific Gas and Electric Company,"East of Oroville, California",WECC,1,638.0,islanding
Ice Storm,2008,12/19/2008,8:30 a.m.,12/22/2008,12:00 p.m.,American Electric Power,"Indiana, Michigan and Northwest Ohio",RFC,,140000.0,"severe weather, winter storm"
Declared Stage 1 Electric Emergency/Made Public Appeal,2008,12/13/2008,3:30 p.m.,12/21/2008,9:17 a.m.,Pacific Gas and Electric Company,Humboldt Area of California,WECC,5,0.0,public appeal
Ice Storm,2008,12/12/2008,8:45 a.m.,12/14/2008,9:52 a.m.,Central Maine Power Company,Southern and Central Maine,NPCC,,169757.0,"severe weather, winter storm"
Ice Storm,2008,12/12/2008,1:00 a.m.,12/22/2008,12:00 a.m.,ISO New England,New England,NPCC,,970000.0,"severe weather, winter storm"
Ice Storm,2008,12/12/2008,2:38 a.m.,12/19/2008,1:24 p.m.,National Grid,Eastern New York,NPCC,200,190000.0,"severe weather, winter storm"
Ice Storm,2008,12/11/2008,6:00 p.m.,12/15/2008,12:00 a.m.,Central Hudson Gas and Electric,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,NPCC,,60000.0,"severe weather, winter storm"
Snow Storm,2008,12/11/2008,9:00 a.m.,12/13/2008,11:59 p.m.,Entergy Corporation,"Southern Louisiana, Southern and Central Mississippi",SERC,,91300.0,"severe weather, winter storm"
Equipment Failure/Made Public Appeal,2008,12/10/2008,5:09 p.m.,12/10/2008,8:29 p.m.,PacifiCorp,Southern Oregon,WECC,32,3.0,"equipment failure, public appeal"
Lines Loss/Transmission,2008,12/9/2008,5:27 p.m.,12/10/2008,4:12 a.m.,Jersey Central Power and Light,Central New Jersey,RFC,438,156729.0,transmission interruption
Fire/Load Shedding,2008,12/2/2008,4:30 a.m.,12/2/2008,7:00 a.m.,Midwest ISO,"St. Louis, Missouri",RFC,135,53000.0,"wild fire, load shedding"
Brush Fire/Shed Firm Load,2008,11/15/2008,9:39 a.m.,11/15/2008,10:10 a.m.,Los Angeles Department of Water and Power,City of Los Angeles,WECC,211,115500.0,"wild fire, load shedding"
Shed Firm Load,2008,11/11/2008,8:30 a.m.,11/11/2008,12:19 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,250,261000.0,load shedding
Load Shedding,2008,11/7/2008,11:15 a.m.,11/7/2008,11:54 a.m.,California ISO,Southern California,WECC,430,400000.0,load shedding
Load Shedding,2008,11/7/2008,11:13 a.m.,11/7/2008,11:54 a.m.,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,250,140000.0,load shedding
Severe Storm,2008,10/25/2008,11:00 p.m.,10/27/2008,7:00 a.m.,ISO New England,Connecticut,NPCC,,52000.0,"severe weather, storm"
Load Shedding,2008,10/2/2008,2:50 p.m.,10/2/2008,9:50 a.m.,Dow Chemical Company,Louisiana,SERC,200,0.0,load shedding
Electrical System Separation,2008,9/30/2008,2:02 p.m.,9/30/2008,2:05 p.m.,Pacific Gas and Electric Company,"Plumas County, California",WECC,30,10000.0,islanding
Shed Firm Load,2008,9/22/2008,5:49 p.m.,9/22/2008,6:39 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,125,43600.0,load shedding
Tropical Depression Ike,2008,9/15/2008,12:37 a.m.,9/19/2008,4:30 p.m.,Allegheny Power,Western Pennsylvania,RFC,546,160875.0,"severe weather, hurricane/tropical storm"
Wind Storm,2008,9/14/2008,5:00 p.m.,9/22/2008,5:11 p.m.,Ohio Edison Company,"Southern, Eastern, and Central Ohio",RFC,469,564728.0,"severe weather, wind"
High Winds,2008,9/14/2008,10:01 a.m.,9/21/2008,5:00 p.m.,Owensboro Municipal Utilities,"City of Owensboro, Kentucky",RFC,70,18000.0,"severe weather, wind"
Tropical Depression Ike,2008,9/14/2008,11:30 a.m.,9/14/2008,4:30 p.m.,Louisville Gas/Kentucky Utilities,State of Kentucky,RFC,,375000.0,"severe weather, hurricane/tropical storm"
Wind Storm,2008,9/14/2008,5:00 p.m.,9/22/2008,3:20 a.m.,Cleveland Electric Illuminating Company,Northeast Ohio,RFC,430,245164.0,"severe weather, wind"
Hurricane Ike,2008,9/14/2008,7:30 a.m.,9/18/2008,3:00 p.m.,Ameren Corporation,Missouri and Illinois,MRO,,107000.0,"severe weather, hurricane/tropical storm"
Tropical Depression Ike,2008,9/14/2008,6:30 a.m.,9/14/2008,2:38 p.m.,Midwest ISO,"Ohio, Kentucky, Indiana",RFC,,875000.0,"severe weather, hurricane/tropical storm"
Wind Storm,2008,9/14/2008,5:00 p.m.,9/19/2008,12:38 p.m.,Pennsylvania Electric Company,Western Pennsylvania,RFC,72,124596.0,"severe weather, wind"
Hurricane Ike,2008,9/14/2008,2:00 p.m.,9/17/2008,12:00 p.m.,Dayton Power and Light,Dayton Ohio Area,RFC,"1,000",95000.0,"severe weather, hurricane/tropical storm"
Tropical Depression Ike,2008,9/14/2008,7:00 p.m.,9/14/2008,11:59 p.m.,Duquesne Light Company,Allegheny and Beaver Counties in Pennsylvania,RFC,600,105000.0,"severe weather, hurricane/tropical storm"
Wind Storm,2008,9/14/2008,4:00 p.m.,9/20/2008,11:00 p.m.,American Electric Company,"Northern Indiana, Central and Central Southern Ohio",RFC,,650000.0,"severe weather, wind"
Hurricane Ike,2008,9/13/2008,12:00 p.m.,9/15/2008,8:00 a.m.,Oncor Electric Delivery Company LLC,"North, Central and East Texas",TRE,,238392.0,"severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/13/2008,4:00 p.m.,9/16/2008,7:44 p.m.,American Electric Power CSWS,Texas and Louisana,SPP,,184501.0,"severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/13/2008,10:24 a.m.,9/27/2008,2:40 p.m.,Louisiana Generating LLC,Southwest Louisiana,SERC,40,50000.0,"severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/2008,8:00 p.m.,9/27/2008,7:00 p.m.,Texas New Mexico Power Company,Galveston and Brazoria Counties,TRE,650,113247.0,"severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/2008,6:21 p.m.,10/1/2008,11:59 p.m.,CenterPoint Energy,Greater Houston-Galveston Metro Area,TRE,"8,087",2142678.0,"severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/2008,6:21 p.m.,10/1/2008,11:59 p.m.,Electric Reliability Council of Texas,Greater Houston Area-Eastern Region of ERCOT,TRE,,2504366.0,"severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/2008,5:45 a.m.,9/14/2008,1:00 p.m.,Entergy Corporation,"Primarily Southeast Texas, Louisiana, and Arkansas",SERC,,705000.0,"severe weather, hurricane/tropical storm"
Fuel Supply Deficiency,2008,9/8/2008,10:03 p.m.,9/9/2008,12:28 a.m.,"State of California, Department of Water Resources",A.D. Edmonston Pumping Plant,WECC,300,0.0,fuel supply emergency
Tropical Storm Hanna,2008,9/6/2008,2:15 p.m.,9/6/2008,4:06 p.m.,Dominion-Virginia Power,North East North Carolina and Virginia,SERC,220,64463.0,"severe weather, hurricane/tropical storm"
Tropical Storm Hanna,2008,9/6/2008,7:45 a.m.,9/6/2008,10:30 a.m.,Progress Energy Carolinas,Eastern North Carolina,SERC,,57000.0,"severe weather, hurricane/tropical storm"
Hurricane Gustav,2008,9/1/2008,10:30 a.m.,9/13/2008,7:22 p.m.,Louisiana Generating LLC,Primarily South and Central Louisiana,SERC,400,150000.0,"severe weather, hurricane/tropical storm"
Hurricane Gustav,2008,9/1/2008,11:45 a.m.,9/10/2008,4:00 p.m.,Cleco Power LLC,"Bayou Division and North Lake Division, Louisiana",SERC,,246092.0,"severe weather, hurricane/tropical storm"
Fuel Supply Curtailed,2008,8/31/2008,7:30 a.m.,9/19/2008,9:00 a.m.,Dow Chemical Company,"Plaquemine, Louisiana",SERC,200,0.0,fuel supply emergency
Hurricane Gustav,2008,8/31/2008,7:00 p.m.,9/3/2008,9:00 a.m.,Entergy Corporation,"Louisiana, Mississippi, Arkansas",SERC,,964000.0,"severe weather, hurricane/tropical storm"
Tropical Storm Fay,2008,8/24/2008,4:30 a.m.,8/24/2008,2:00 p.m.,Southern Company,Georgia and Alabama,SERC,110,87390.0,"severe weather, hurricane/tropical storm"
Fuel Supply Emergency-Low Coal Inventory Levels,2008,8/22/2008,12:00 p.m.,8/23/2008,12:00 p.m.,Mirant Chalk Point LLC,-,RFC,0,0.0,"fuel supply emergency, coal"
