Utility Company,EIA Utility Id,Twitter Handle,Facebook Page,Outage Phone Number,Outage Map URL,Phone Number,Web Site
Alaska Electric Light&Power Co,213,@aelpjuneau,https://www.facebook.com/AELPJuneau,After hours (907) 586-9765,,(907) 780-2222,http://www.aelp.com/
Alaska Energy Authority,42889,,,,,,http://www.akenergyauthority.org/
Alaska Power and Telephone Co,219,,,,,800.982.0136,http://www.aptalaska.com/index.php
"Alaska Village Elec Coop, Inc",221,,https://www.facebook.com/alaskavillage,(907) 561-1818 or 1-800-478-1818,,(907) 561-1818 or 1-800-478-1818,http://avec.org/
Albany Water Gas & Light Comm,230,@ALBYWGL,https://www.facebook.com/albanywgl,229-883-8330 ext. 506,,,http://www.albanyutil.org
Albemarle Electric Member Corp,240,,https://www.facebook.com/pages/Albemarle-Electric-Membership-Corporation/495990155067,1-800-274-2072,,1-800-274-2072,http://www.aemc.coop/
Albertville Municipal Utils Bd,241,,,256-878-3761,,256-878-3761 or 1-888-825-1619,http://mub-albertville.com/
Alcorn County Elec Power Assn,276,,,(662) 287-4402,,(662) 287-4402,http://www.ace-power.com/
"Alder Mutual Light Co, Inc",287,,,(360) 569-2718,,(360) 569-2718,
"Alfalfa Electric Coop, Inc",296,,https://www.facebook.com/AlfalfaElectric,580-596-3333 or 888-736-3837,https://ebill.alfalfaelectric.com/woViewer/mapviewer.html?config=Outage%2BWeb%2BMap,580-596-3333,http://alfalfaelectric.com/
"Alfalfa Electric Coop, Inc (Kansas)",296,,https://www.facebook.com/AlfalfaElectric,888-736-3837,https://ebill.alfalfaelectric.com/woViewer/mapviewer.html?config=Outage%2BWeb%2BMap,580-596-3333,http://alfalfaelectric.com/
Alger-Delta Coop Electric Assn,305,,,800-562-0950,,(906) 428-4141,http://algerdelta.com/
Algoma Utility Comm,307,,,(920) 388-7108 After Hours,,(920) 487-5556,http://algomautilities.com/
"Allamakee-Clayton El Coop, Inc",329,@AllClayElectric,https://www.facebook.com/AllamakeeClaytonElecCoop,(563) 864-7611 or  888-788-1551,,(563) 864-7611 or  888-788-1551,http://www.acrec.com/
Allegheny Electric Coop Inc,332,,,(717) 233-5704,,(717) 233-5704,http://www.alleghenyelectriccoop.com/
Allegheny Energy Supply Co LLC,23279,,,,,,
Allegheny Energy Supply Co LLC (Maryland),23279,,,,,,
Alliance Power Co LLC,49818,,,(877) 777-2017,,(877) 777-2017,http://alliance-power.com/
Alliance Star Energy LLC,56929,,,(619) 574-0527,,(619) 574-0527,
Alpena Power Co,392,,,989.358.4900,,,http://www.alpenapower.com
Altamaha Electric Member Corp,407,@AltamahaEMC,https://www.facebook.com/AltamahaEMC,912-526-8181; 1-800-822-4563,,912-526-8181,http://www.altamahaemc.com
Amana Society Service Co,471,,,(319) 622-3053,,(319) 622-3052,http://www.amanasociety.com/services.html
"Ambit Energy, L.P.",56212,@AmbitEnergy,https://www.facebook.com/AmbitEnergy,(877) 282-6248,http://www.pge.com/myhome/outages/outage/,(877) 282-6248,http://ww2.ambitenergy.com/about-ambit-energy
"Ambit Energy, L.P. (Maryland)",56212,@AmbitEnergy,https://www.facebook.com/AmbitEnergy,(877) 282-6248,http://ww2.ambitenergy.com/contact-ambit-energy,(877) 282-6248,http://ww2.ambitenergy.com/
"Ambit Energy, L.P. (New York)",56212,@AmbitEnergy,https://www.facebook.com/AmbitEnergy,(877) 282-6248,,(877) 282-6248,http://ww2.ambitenergy.com/
Ameren Energy Marketing,19436,@AmerenMissouri,,800 552 7583,http://apps.ameren.com/outage/outagemap.aspx?state=MO,1 800-552-7583,http://www.ameren.com/missouri/
Ameren Energy Marketing (Illinois),970,,,,,,
Ameren Illinois Company,56697,@AmerenIllinois,https://www.facebook.com/AmerenIllinois,800.755.5000,https://www2.ameren.com/common/OutageStatus.aspx,800.755.5000,http://www.ameren.com/illinois
AmeriPower LLC,50156,,,1-877-960-5050,,1-877-960-5050 or 281 240 0405,http://www.ameripower.com/
"American Electric Power Co., Inc.",343,,,,,(614) 716-1000,http://www.aep.com
"American Mun Power-Ohio, Inc",40577,,,614.540.1020,,,http://www.amppartners.org/
American PowerNet,49730,,,(877) 977-2636,,(877) 977-2636,http://www.americanpowernet.com/
American PowerNet (District of Columbia),49730,,,,,,
American PowerNet (Maine),49730,,,(877) 977-2636,,(877) 977-2636,http://americanpowernet.com/
American PowerNet (Maryland),49730,,,(877) 977-2636 or (610) 372-8500,,(877) 977-2636 or (610) 372-8500,http://www.americanpowernet.com/
American PowerNet (New Jersey),49730,,,877-977-2636,,877-977-2636,http://www.americanpowernet.com/index.html
American Samoa Power Authority,40429,,,,,,
American Transmission Systems Inc,56162,@amertransco,,,,,http://www.atcllc.com/
Amicalola Electric Member Corp,562,,https://www.facebook.com/pages/Amicalola-EMC/254033993290,,http://www.amicalolaemc.com/report-an-outage/,Jasper- 706-253-5200; Ellijay- 706-276-2362; Dahlonega - 706-864-7979,http://www.amicalolaemc.com
Amigo Energy,49853,,,1-888-469-2644,,,http://www.amigoenergy.com/
Anadarko Public Works Auth,588,,,405-247-6848,,405-247-6848,http://www.cityofanadarko.org/ContactUs.aspx
Anchorage Municipal Light and Power,599,@MLandP,https://www.facebook.com/mlandp,(907) 279-7671,,(907) 279-7671,http://www.mlandp.com/
Aniak Light & Power Co Inc,4959,,https://www.facebook.com/pages/Aniak-Light-Power-Co-Inc/,(907) 675-4334,,(907) 675-4334,
Anoka Electric Coop,689,,,7635762750,,7635762750,http://www.anokaelectric.govoffice3.com/
Anthracite Power & Light,56220,,,570-622-3000,,570-622-3000,http://www.anthracitepower.com/
Anza Electric Coop Inc,694,,https://www.facebook.com/Anzaelectric,951-763-4333 or  888-818-6085,,951-763-4333,http://www.anzaelectric.org/
Appalachian Electric Coop,727,,,(865) 475-2032  or (423) 586-4755  or (865) 828-5225,http://aecoop.org/outage-map/,(865) 475-2032  or (423) 586-4755  or (865) 828-5225,http://aecoop.org/
Appalachian Power Co,733,@appalachianpowe,https://www.facebook.com/AppalachianPower,,https://www.appalachianpower.com/outages/report/,,https://www.appalachianpower.com
Appalachian Power Co (Virginia),733,@AppalachianPowe,https://www.facebook.com/AppalachianPower,1-800-956-4237,https://www.appalachianpower.com/outages/outageMap.aspx,1-800-956-4237,https://www.appalachianpower.com/
Appalachian Power Co (West Virginia),733,@AppalachianPowe,https://www.facebook.com/AppalachianPower,800-956-4237.,https://www.appalachianpower.com/outages/outageMap.aspx,1-800-956-4237,https://www.appalachianpower.com/default.aspx
Applied Energy Inc,745,,,619-239-9900,,619-239-9900,
Aquila Inc,12698,,,(816) 421-6600,,(816) 421-6600,
Aquila Inc (Missouri),12698,@bhenergy,https://www.facebook.com/blackhillsenergy,1-800-694-8989,,1-888-890-5554,http://www.blackhillsenergy.com/
Arab Electric Coop Inc,750,,https://www.facebook.com/pages/Arab-Electric-Cooperative-Inc/145881255435830,1-866-868-5032,,256-586-3196,http://www.arab-electric.org/
Arizona Electric Pwr Coop Inc,796,@AZGandTCoops,https://www.facebook.com/pages/Arizonas-GT-Cooperatives/347352335037?ref=ts,(520) 586-3631,,(520) 586-3631,http://www.azgt.coop/electricity-generation-and-transmission/generation/arizona-electric-power-cooperative/
Arizona Power Authority,798,,,602-368-4265,,602-368-4265,http://www.powerauthority.org/
Arizona Public Service Co,803,@apsfyi,https://www.facebook.com/apsfyi,855-688-2437 (855-OUTAGES),,800-253-9405,http://www.aps.com/
"Ark Valley Elec Coop Assn, Inc",40208,,,(620) 662-6661,,(620) 662-6661,http://www.arkvalley.com/#%21
Arkansas Electric Coop Corp,807,@ecarkliving,https://www.facebook.com/ElectricCooperativesofArk,,,(501) 570-2200,http://www.aecc.com
Arkansas River Power Authority,712,,https://www.facebook.com/pages/Arkansas-River-Power-Authority/160432280643533,1-719-336-3496,,1-719-336-3496,http://www.arpapower.org/
Arkansas Valley Elec Coop Corp,817,@MyEnergyAVECC,https://www.facebook.com/MyEnergyAVECC,1-800-468-2176,http://www.outageentry.com/dvOSM4/dvOSM4.php?Client=ARKVALLEY,1-800-468-2176,http://www.avecc.com/
"Arrowhead Electric Coop, Inc",887,,,1-800-864-3744,,218-663-7239,http://www.aecimn.com/
"Ashley Chicot Elec Coop, Inc",925,@ECArkLiving,https://www.facebook.com/ElectricCooperativesofArk,1-800-281-5212,,870-853-5212,http://www.ashley-chicot.com
"Associated Electric Coop, Inc",924,,https://www.facebook.com/pages/Associated-Electric-Cooperative-Inc/107536709276822,417-881-1204,,417-881-1204,http://www.aeci.org/
Atchison-Holt Electric Coop,942,,https://www.facebook.com/AtchisonHoltElectricCooperative?fref=ts,888-744-5366,,888-744-5366,http://www.ahec.coop/
Atchison-Holt Electric Coop (Iowa),942,,https://www.facebook.com/AtchisonHoltElectricCooperative?fref=ts,888-744-5366,,660-744-5344,http://www.ahec.coop/
Athens Utility Board,947,,,(423) 745-3131,,(423) 745-4501 or 1-888-745-8845,http://www.aub.org/
Atlantic City Electric Co,963,@ACElecConnect,,800-833-7476,http://www.atlanticcityelectric.com/outage/,,http://www.atlanticcityelectric.com/home/
Atlantic Municipal Utilities,965,@AMUAtlantic,https://www.facebook.com/AtlanticMunicipalUtilities,712-243-1395,,712-243-1395,http://www.a-m-u.net/
Atmautluak Tribal Utilities,878,,,1-907-553-5429,,1-907-553-5429,
Auburn Board of Public Works,993,,,(402) 274-4981,,402-274-4981,http://auburnbpw.com/
Austin Energy,1015,,,,https://my.austinenergy.com/outages/,,http://www.austinenergy.com
Avista Corp,20169,,,,,,
Avista Corp (Idaho),20169,@avistautilities,https://www.facebook.com/AvistaUtilities,(800) 227-9187,https://www.avistautilities.com/safety/outages/_layouts/avista/transactions/ViewOutages.aspx?map=1,(800) 227-9187,http://www.avistautilities.com
Avista Corp (Montana),20169,@AvistaUtilities,https://www.facebook.com/AvistaUtilities,(800) 227-9187,https://www.avistautilities.com/safety/outages/_layouts/avista/transactions/ViewOutages.aspx?map=1,800-227-9187,https://www.avistautilities.com/residential/Pages/default.aspx
"Avista Turbine Power, Inc",1049,@AvistaUtilities,https://www.facebook.com/AvistaUtilities,800.227.9187,,800.936.6629,http://www.avistacorp.com/home/Pages/default.aspx
BARC Electric Coop Inc,1062,@BARCElectric,https://www.facebook.com/BARCElectricCooperative,800-846-2272,http://outages.barcelectric.com:83/,800-846-2272,http://www.barcelectric.com/
BP Energy Company,540,@BP_plc,https://www.facebook.com/bp?brand_redir=488818357807767,,,1 281 366 2000,https://www.bp.com/
BP Energy Company (Washington),540,@BP_America,https://www.facebook.com/BPAmerica,1 800 333 3991,,1 800 333 3991,http://www.bp.com/
"Backyard Farms Energy, LLC",56522,,,,,,
Badger Power Marketing Auth,1572,,https://www.facebook.com/pages/Badger-Power-Marketing-Authority-of-Wi/167970393218721,(715) 526-2920,,(715) 526-2920,
Bagley Public Utilities Comm,1101,@bagleyminnesota,https://www.facebook.com/BagleyMn?ref=tn_tnmn,,,2186942300,http://www.bagleymn.us/index.asp?SEC=6BA2E005-2054-4B9E-9E71-C339DF3F689F&Type=B_BASIC
Bailey County Elec Coop Assn,1169,,https://www.facebook.com/bcecoop,(806) 272-4504,,(806) 272-4504,http://www.bcecoop.com/
Baldwin County El Member Corp,1149,,,(251) 989-6247 or (800) 837-3374,http://173.202.239.131:82/,(251) 989-6247 or (800) 837-3374,http://www.baldwinemc.com/
Baltimore Gas & Electric Co,1167,,,,,,http://www.bge.com/Pages/default.aspx
Bamberg Board of Public Works,1170,,,(803) 245-5128,,(803) 245-5128,http://www.bambergsc.com/pw/main.htm
Bancroft Municipal Utilities,1172,,https://www.facebook.com/pages/Town-of-Bancroft/240590092735268,515.885.2382,,515.885.2382,http://www.bancroftiowa.com/Utilities.htm
"Bandera Electric Coop, Inc",1175,,,855-423-2669,http://outage.banderaelectric.com/,1-866-226-3372,http://www.banderaelectric.com
Bangor Hydro-Electric Co,1179,@Bangor,https://www.facebook.com/pages/Bangor-Hydro-Electric/,(800) 440-1111,http://www.outagecentral.com/showOutageurl/28142,1-800-499-6600,http://bhe.com
Barbourville Utility Comm,1201,,https://www.facebook.com/pages/Barbourville-Utility-Commission/185033288196247,1 (606) 546-3187,,1 (606) 546-3187,http://www.barbourville.com/index-4.html
Barron Electric Coop,1251,,https://www.facebook.com/barronelectric,1-866-258-8722,,800-322-1008,http://barronelectric.com/
"Barrow Utils & Elec Coop, Inc",1276,,,After Hours: 907-852-3176,,907-852-6166,http://www.bueci.org/
Barry Electric Coop,1279,,https://www.facebook.com/pages/Barry-Electric-Cooperative-Inc/67355402402,(417) 847-2131,,(866) 847-2333,http://www.barryelectric.com/
Bartholomew County Rural E M C,1283,,https://www.facebook.com/bcremc,(800) 927-5672,http://www.bcremc.com/outages/,(812) 372-2546,http://www.bcremc.com/
"Bartlett Electric Coop, Inc",1273,,,Bartlett Office-(254)-527-3551 or *(512)-746-2771 or Killeen Office-(254)-634-1274,,Bartlett Office-(254)-527-3551 or *(512)-746-2771 or Killeen Office-(254)-634-1274,http://bartlettec.coop/
"Barton County Elec Coop, Inc",1301,,https://www.facebook.com/pages/Barton-County-Electric-Cooperative-Inc/282899875480,800-286-5636,,(417) 682-5636,http://www.bartonelectric.com/
"Barton Village, Inc (Utility Company)",1299,,,(802) 525-4747,http://vtoutages.com/,(802) 525-4747,http://centerofthekingdom.com/services/barton-village-inc
Basin Electric Power Coop,1307,@Basin_Electric,https://www.facebook.com/basinelectric,701-223-0441,,701-223-0441,http://www.basinelectric.com/
Basin Electric Power Coop (South Dakota),1307,@Basin_Electric,https://www.facebook.com/basinelectric,701-223-0441,,701-223-0441,http://www.basinelectric.com/
Bath Electric Gas & Water Sys,1343,,,(607) 776-3072,,(607) 776-3072,http://www.villageofbath.org/BEGWS.html
"Bayfield Electric Coop, Inc",1367,,,715-372-4047,,1-800-278-0166 or 715-372-4287,http://bayfieldelectric.com/
"Bayfield Electric Coop, Inc (Michigan)",1367,,,715-372-4047 After Hours,,1-800-278-0166 or 715-372-4287,http://bayfieldelectric.com/
Beaches Energy Services,9616,@BeachesEnergy,https://www.facebook.com/BeachesEnergy,904-247-6171,,904-247-6241 or 904-247-6280,http://www.beachesenergy.com/
Bear Valley Electric Service,17612,,,(800) 808-2837,,(909) 866-4678,https://www.bves.com/
"Beartooth Electric Coop, Inc",1417,,,800-472-9821,,406-446-2310,http://www.beartoothelectric.com/
"Beartooth Electric Coop, Inc (Wyoming)",1417,,,1-800-472-9821,,(406) 446-2310,http://www.beartoothelectric.com/
"Beauregard Electric Coop, Inc",1458,,https://www.facebook.com/BeauregardElectric,(800) 367 0275,http://www.becioutage.org/,(337) 463 6221,http://www.beci.org/
Beaver City Corporation (Utility Company),1434,,https://www.facebook.com/beavercityutahusa?rf=232660060090891,435-438-2451,,435-438-2451,http://www.beaverutah.net/electric-light-water/
"Bedford Rural Elec Coop, Inc",40221,,,(814)623-7568,,(814)623-7568 or 1-800-808-2732 or (814) 623-5101,http://www.bedfordrec.com/
"Beltrami Electric Coop, Inc",1529,@BeltramiECoop,https://www.facebook.com/BeltramiElectricCoop,800-955-6083,,800-955-6083,https://www.beltramielectric.com/
Benton County,1578,,,(731) 584-4632,,(731) 584-4632,http://bentoncountytn.gov/
Benton Rural Electric Assn,1625,@BentonREA,https://www.facebook.com/bentonrea,1-800-221-6987,https://www.bentonrea.org/outagemap.html,(509) 786-2913,https://www.bentonrea.org/
Berkeley Electric Coop Inc,1613,@ConnectionsCard,https://www.facebook.com/BerkeleyElectricCooperative,1-888-253-4232,http://outageviewer.becsc.com:88/,Awendaw: (843) 884-7525; Johns Island: (843) 559-2458; Goose Creek: (843) 553-5020; Moncks Corner: (843) 761-8200,https://www.berkeleyelectric.coop/
Bethel Utilities Corp,1651,,,(907) 562-2500,,(907) 562-2500,
"Big Bend Electric Coop, Inc",1723,,,509-659-1700; 866-844-2363 -- After Hours: 509-659-0487;  509-547-5454,,509-659-1700; 866-844-2363 -- After Hours: 509-659-0487;  509-547-5454,http://www.bbec.org/
"Big Country Electric Coop, Inc",1591,,https://www.facebook.com/pages/Big-Country-Electric-Cooperative/217964055028487,1-888-662-2232,,1-888-662-2232,http://www.bigcountry.coop/
Big Flat Electric Coop Inc,1671,,,406-654-7400 (After Hours),,406-654-2040,http://bigflatelectric.com/index.htm
"Big Horn County Elec Coop, Inc",1683,,,(406) 665-2830,,(406) 665-2830,http://www.bhcec.com/
Big Horn Rural Electric Co,1675,,https://www.facebook.com/pages/Big-Horn-Rural-Electric/,1-800-564-2419,,307-568-2419,http://www.bighornrea.com/
Big Rivers Electric Corp,1692,,https://www.facebook.com/pages/Big-Rivers-Electric-Corporation/142180855818082?rf=154289971250771,(270) 827-2561,,(270) 827-2561,http://www.bigrivers.com/
Big Sandy Rural Elec Coop Corp,1708,@bigsandycoop,https://www.facebook.com/pages/Big-Sandy-RECC/142216049157162,888-789-7322,http://outagemap.bigsandyrecc.com/,606-789-4095 or 888-789-7322,http://www.bigsandyrecc.com/
Birch Creek Village Elec Util,1747,,https://www.facebook.com/Birch.Creek.Village.Alaska,907-221-2211,,907-221-2211,https://www.tananachiefs.org/about/communities/birch-creek/
Blachly-Lane Cnty Coop El Assn,1736,@Blachlylane,https://www.facebook.com/blachly.lane,(541) 688-8711,,(541) 688-8711,http://www.blachlylane.coop/
Black Diamond Power Co,1764,,,(304) 683-5281,,(304) 683-5281,
"Black Hills Electric Coop, Inc",1769,,https://www.facebook.com/blackhillselectriccoop,(800) 742-0085,,(605) 673-4461,http://www.bhec.com/
Black Hills Power Inc,19545,,,,,,
Black Hills Power Inc (Montana),19545,@blackhillspower,https://www.facebook.com/blackhillspower,1-800-839-8197,http://www.blackhillspower.com/outages,877-747-2805,http://www.blackhillspower.com/
Black Hills Power Inc (Wyoming),19545,@blackhillspower,https://www.facebook.com/blackhillspower,1-800-839-8197,,1-800-742-8948,http://www.blackhillspower.com/
Black Hills/Colorado Elec.Utility Co. LP,56146,,,,,,
Black River Electric Coop,1775,,,1-800-392-4711,,573-783-3381 or 573-238-2621 or 573-663-2226,http://www.brec.coop/
"Black River Electric Coop, Inc",1763,,https://www.facebook.com/pages/Black-River-Electric-Cooperative/160446270645571,(803) 469-8060; after hours-  1-844-431-2732,,Sumter: (803) 469-8060; Camden: (803) 432-9854,
Black Warrior Elec Member Corp,1780,,,1-334-289-0845 or 1-800-242-2580,,1-334-289-0845 or 1-800-242-2580,http://www.blackwarrioremc.com/
Block Island Power Co,1857,@RhodeIslandEMA,https://www.facebook.com/RhodeIslandEMA,(401) 466-5851,,(401) 466-5851,http://www.riema.ri.gov/
Bloom Energy 2009 PPA,56778,@Bloom_Energy,https://www.facebook.com/bloomenergy,(408) 543-1500,,(408) 543-1500,http://www.bloomenergy.com/
Bloomer Electric & Water Co,1866,,,(715) 568-4444,,715-568-3331,http://www.ci.bloomer.wi.us/utilities.htm
Blue Earth-Nicollet-Faribault,1884,,https://www.facebook.com/bencoelectric,(507) 387-7964,,507-387-7963,http://www.benco.org
Blue Grass Energy Coop Corp,1886,@BlueGrassEnergy,https://www.facebook.com/BlueGrassEnergy,888-655-4243,http://outage.bgenergy.com/,888-546-4243,http://www.bgenergy.com/
Blue Ridge Elec Member Corp,1889,@blueridgeemc,https://www.facebook.com/BlueRidgeEMC,1-800-448-2383,http://bremco.maps.sienatech.com/,1-800-448-2383,http://www.blueridgeemc.com/
Blue Ridge Electric Coop Inc,1890,@blueridgecoop,https://www.facebook.com/brecinc,1-888-258-3743,,864-878-6326; 864-647-2005; 1-800-240-3400,http://www.blueridge.coop/
Blue Ridge Mountain E M C,1891,,,(706)379-3121.,,706.379.3121; 828.837.1017,http://www.brmemc.com
Blue Ridge Mountain E M C (North Carolina),1891,@brmemc,,(706) 379-3121 or (800) 292-6456,,(706) 379-3121 or (800) 292-6456,http://www.brmemc.com/
Blue Star Energy Services,55722,@aepenergy,https://www.facebook.com/AepEnergy,866-258-3782,,866-258-3782,http://www.aepenergy.com/
Blue Star Energy Services (Maryland),55722,,,,,,
Blue Star Energy Services (Pennsylvania),55722,@keealliance,https://www.facebook.com/AepEnergy,866-258-3782 or 312-327-0090,,,http://www.bluestarenergy.com
"Bluebonnet Electric Coop, Inc",1892,,,800-949-4414,http://outage.bluebonnetelectric.coop:82/,800-949-4414,https://www.bluebonnetelectric.coop
"Bluerock Energy, Inc.",55813,@BlueRockEnergy,https://www.facebook.com/BlueRockEnergy,877-280-4909,,877-280-4909,http://www.bluerockenergy.com/
Bluestem Electric Coop Inc,23826,,,(800) 558-1580,,(785) 456-2212,http://bluestemelectric.com/
Board of Water Electric & Communications,13143,@CityofMuscatine,https://www.facebook.com/pages/City-of-Muscatine-Iowa-City-Government/128660153862305,563-264-1550,,563-264-1550,http://www.muscatineiowa.gov/101/Water-Electric-Communications-Trustees
Bolivar Energy Authority,1936,,,731-658-5257 or 1-800-332-0457,,731-658-5257 or 1-800-332-0457,http://www.bolivarelectric.com/
"Bon Homme Yankton El Assn, Inc",1898,,https://www.facebook.com/BonHommeYanktonElectric,800-925-2929,,(605) 463-2507,http://byelectric.com/
Bonneville Power Admin,1738,@bpanews,https://www.facebook.com/bonnevillepower,1-800-282-3713,,1-800-282-3713,https://www.bpa.gov/Contact/Pages/default.aspx
Bonneville Power Admin (Idaho),1738,@bpanews,http://www.facebook.com/bonnevillepower,1-800-282-3713,,1-800-282-3713,http://www.bpa.gov/Pages/home.aspx
Bonneville Power Admin (Montana),1738,@bpanews,http://www.facebook.com/bonnevillepower,800-282-3713,,(406) 676-2669,http://www.bpa.gov/Pages/home.aspx
Bonneville Power Admin (Washington),1738,@bpanews,https://www.facebook.com/bonnevillepower,800-282-3713 or 503-230-3000,,800-282-3713 or 503-230-3000,https://www.bpa.gov/Pages/home.aspx
Boone County Rural EMC,24753,@BooneREMC,https://www.facebook.com/BooneREMC,(800) 897-7362,https://ebill.bremc.com/woViewer/mapviewer.html?config=Outage%2BWeb%2BMap,(800) 897.7362,https://www.bremc.com/
Boone Electric Coop,2001,@BooneElectric,http://www.facebook.com/BooneElectric,(800) 225-8143,http://stormcenter.booneelectric.coop/default.html,(573) 449-4181,http://www.booneelectric.coop/
Boone Valley Electric Coop,1968,,https://www.facebook.com/BooneElectric,515-825-3998,,515-825-3998,http://www.boonevalleyrec.com/
